#options: 640x360 fps=30000/1001 timebase=1001/30000 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=11 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=63 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:0 out:0 type:I dur:2 cpbdur:2 q:53.98 aq:46.79 tex:11115 mv:3970 misc:131 imb:920 pmb:0 smb:0 d:- ref:;
in:4 out:1 type:P dur:2 cpbdur:2 q:54.81 aq:49.49 tex:381 mv:394 misc:297 imb:26 pmb:24 smb:870 d:- ref:0 ;
in:2 out:2 type:B dur:2 cpbdur:2 q:54.81 aq:51.00 tex:118 mv:109 misc:173 imb:0 pmb:15 smb:905 d:- ref:0 ;
in:1 out:3 type:b dur:2 cpbdur:2 q:54.81 aq:51.00 tex:50 mv:52 misc:162 imb:0 pmb:7 smb:913 d:- ref:0 ;
in:3 out:4 type:b dur:2 cpbdur:2 q:54.81 aq:51.00 tex:45 mv:81 misc:162 imb:1 pmb:7 smb:912 d:- ref:0 ;
in:8 out:5 type:P dur:2 cpbdur:2 q:54.57 aq:50.52 tex:338 mv:287 misc:319 imb:10 pmb:27 smb:883 d:- ref:0 ;
in:6 out:6 type:B dur:2 cpbdur:2 q:54.69 aq:51.00 tex:150 mv:176 misc:210 imb:3 pmb:13 smb:904 d:- ref:0 ;
in:5 out:7 type:b dur:2 cpbdur:2 q:54.75 aq:51.00 tex:46 mv:17 misc:145 imb:0 pmb:5 smb:915 d:- ref:0 ;
in:7 out:8 type:b dur:2 cpbdur:2 q:54.63 aq:51.00 tex:85 mv:63 misc:172 imb:0 pmb:9 smb:911 d:- ref:0 ;
in:12 out:9 type:P dur:2 cpbdur:2 q:54.38 aq:50.06 tex:377 mv:269 misc:322 imb:15 pmb:22 smb:883 d:- ref:0 ;
in:10 out:10 type:B dur:2 cpbdur:2 q:54.47 aq:51.00 tex:87 mv:63 misc:194 imb:1 pmb:7 smb:912 d:- ref:0 ;
